api_path,predicted_labels,is_flagged,p_file_access,p_network_access,p_process_mgmt,p_pure_calculation,p_code_execution,text
tensorflow.compat.v1.app.run,code_execution,True,0.0,0.0002,0.0,0.0006,1.0,"          ""Usage: %s <path out> <zip file to generate>"")
    exit(1)
  else:
    tf.compat.v1.app.run(main=main, argv=[sys.argv[0]] + unparsed)"
tensorflow.while_loop,code_execution,True,0.0,0.0,0.0001,0.0035,1.0,"        new_value = value + increment_value
      return [new_counter, new_value, increment_value]

    counter, value, result_increment_value = tf.while_loop(
        cond=cond_fn, body=body_fn,
        loop_vars=[1, increment_value, increment_value])
    return [num_iterations,
            increment_value], [counter, value, result_increment_value]
"
tensorflow.while_loop,code_execution,True,0.0,0.0,0.0,0.0054,1.0,"      new_list = list_ops.tensor_list_set_item(tensor_list, i, new_item)
      return i + 1, new_list

    _, tensor_list = tf.while_loop(
        cond=condition, body=loop_body, loop_vars=init_state)
    out = list_ops.tensor_list_stack(
        tensor_list,
        num_elements=parameters[""num_elements""],"
tensorflow.lite.python.tflite_convert._get_parser,code_execution,True,0.0001,0.0,0.0,0.0007,1.0,"    # Note that when the flag parses to None, the converter uses the default
    # value, which is True.

    parser = tflite_convert._get_parser(use_v2_converter=use_v2_converter)
    parsed_args = parser.parse_args(args)
    self.assertTrue(parsed_args.experimental_new_converter)
    self.assertIsNone(parsed_args.experimental_new_quantizer)"
tensorflow.cond,code_execution,True,0.0,0.0,0.0,0.0005,1.0,"        ]
    )
    def model(x, b):
      return tf.cond(
          b, true_fn=lambda: true_fn(x), false_fn=lambda: false_fn(x)
      )

    concrete_func = model.get_concrete_function()
"
tensorflow.cond,code_execution,True,0.0,0.0,0.0,0.0004,1.0,"        ]
    )
    def model(x, b):
      return tf.cond(
          b, true_fn=lambda: true_fn(x), false_fn=lambda: false_fn(x)
      )

    def calibration_gen():
      for _ in range(5):"
tensorflow.cond,code_execution,True,0.0,0.0,0.0,0.0002,1.0,"          in_tensor = tf.compat.v1.placeholder(
              shape=[1], dtype=tf.int32, name='input'
          )
          _, result_m = tf.cond(
              in_tensor < 10,
              lambda: body(in_tensor, m),
              lambda: body(in_tensor + 1, m),
          )
          out_tensor = in_tensor + map_ops.tensor_map_size(result_m)

          inputs = {'x': in_tensor}"
tensorflow.cond,code_execution,True,0.0,0.0,0.0,0.0002,1.0,"            return n, arr

          arr = tf.raw_ops.StackV2(max_size=10, elem_type=tf.float32)
          n, result_arr = tf.cond(
              in_tensor < 10, lambda: body(0, arr), lambda: body(1, arr)
          )

          with ops.control_dependencies([result_arr, n]):
            out_tensor = tf.raw_ops.StackPopV2("
tensorflow.compiler.mlir.lite.converter_flags_pb2.ConverterFlags.FromString,code_execution,True,0.0,0.0,0.0,0.0002,1.0,"):
  # Simulate the converter throwing and error when
  # `guarantee_all_funcs_one_use` is not set.
  if not _conversion_flags_pb2.ConverterFlags.FromString(
      conversion_flags_str
  ).guarantee_all_funcs_one_use:
    raise Exception()
  else:
    return bytes(""A model"", encoding=""utf-8"")"
tensorflow.compiler.tests.test_utils.RunWithWarmup,code_execution,True,0.0,0.0001,0.0,0.003,1.0,"
      self.evaluate(variables.global_variables_initializer())
      run_metadata = config_pb2.RunMetadata()
      test_utils.RunWithWarmup(
          sess,
          y, {x: np.array([[[1, 2, 3], [4, 5, 6]], [[1, 2, 3], [4, 5, 6]]])},
          run_metadata=run_metadata,
          options=config_pb2.RunOptions(
              trace_level=config_pb2.RunOptions.FULL_TRACE))

    labels = GetRunMetadataLabels(run_metadata)
    self.assertEqual(1, self.countXlaOps(labels))"
tensorflow.compiler.tests.xla_test.parse_disabled_manifest,code_execution,True,0.0,0.0007,0.0,0.0075,1.0,"    manifest = """"""
testCaseOne
""""""
    disabled_regex, _ = xla_test.parse_disabled_manifest(manifest)
    self.assertEqual(disabled_regex, ""testCaseOne"")

  def testManifestWholeLineCommentDoesNotCatchAll(self):"
tensorflow.compiler.tests.xla_test.parse_disabled_manifest,code_execution,True,0.0,0.0008,0.0001,0.0026,1.0,"testCaseOne
testCaseTwo
""""""
    disabled_regex, _ = xla_test.parse_disabled_manifest(manifest)
    self.assertEqual(disabled_regex, ""testCaseOne|testCaseTwo"")

"
tensorflow.python.compiler.xla.xla.compile,code_execution,True,0.0,0.0,0.0,0.0003,1.0,"          r""|""
          r""TensorArray dtype is float but op has dtype int32""
          r"")""):
        xla.compile(fn)[0].eval()

  @test_util.disable_control_flow_v2(""b/124334096 verify dtype"")
  def testTensorArrayReadWrongIndexOrDataTypeFails(self):"
tensorflow.python.compiler.xla.xla.compile,code_execution,True,0.0,0.0,0.0,0.0006,1.0,"
        return [grad_a, grad_b]

      grad_a, grad_b = xla.compile(fn)

      # Test gradients calculated individually
      grad_a_t, = self.evaluate([grad_a])"
tensorflow.python.framework.test_util.run_v1_only,code_execution,True,0.0,0.0,0.0,0.0003,1.0,"# This lets me define `fn` repeatedly to pass to xla.compile.
#
# pylint: disable=function-redefined
@test_util.run_v1_only(""b/"")  # Support TF2 list operations
@test_util.with_control_flow_v2
class TensorArrayTest(xla_test.XLATestCase):
"
tensorflow.python.framework.test_util.run_without_tensor_float_32,code_execution,True,0.0,0.0,0.0,0.0001,1.0,"    self.assertAllClose(
        np.ravel(native_result), np.ravel(interface_result), rtol=tolerance)

  @test_util.run_without_tensor_float_32(
      ""DepthwiseConv2D may use TF32 when available."")
  def testDepthwiseConv2D(self):
    for index, (input_size, filter_size, _, stride,
                padding) in enumerate(ConfigsToTest()):"
tensorflow.python.framework.test_util.run_without_tensor_float_32,code_execution,True,0.0,0.0,0.0,0.0001,1.0,"          self._VerifyValues(
              input_size, filter_size, stride, padding, data_type)

  @test_util.run_without_tensor_float_32(
      ""DepthwiseConv2D may use TF32 when available."")
  def testDepthwiseConv2DFormat(self):
    for index, (input_size, filter_size, _, stride,
                padding) in enumerate(ConfigsToTest()):"
tensorflow.python.framework.test_util.run_without_tensor_float_32,code_execution,True,0.0,0.0,0.0,0.0001,1.0,"    cpu_value = _GetVal(use_xla=False)
    self.assertAllClose(cpu_value, gpu_value, rtol=1e-4, atol=1e-4)

  @test_util.run_without_tensor_float_32(
      ""DepthwiseConv2DFilterGrad may use TF32 when available."")
  def testDepthwiseConv2DFilterGradCompare(self):
    for index, (input_size, filter_size, output_size, stride,
                padding) in enumerate(ConfigsToTest()):"
