api_path,predicted_labels,is_flagged,p_file_access,p_network_access,p_process_mgmt,p_pure_calculation,p_code_execution,text
tensorflow.compiler.tests.xla_test.Benchmark,"network_access, pure_calculation, code_execution",True,0.0001,1.0,0.0005,0.9988,0.9963,"      gather_t = array_ops.gather(inputs, indices, axis=axis)
      return '%s.axis%d' % (name, axis), [gather_t]

    xla_test.Benchmark(self, BuilderFn, use_xla_jit=use_xla_jit, device='cpu')

  def _benchmarkSliceGather(self, axis, use_xla_jit):
    """"""Benchmarks a gather op that's really a dynamic slice."""""""
tensorflow.python.saved_model.loader_impl.load,"file_access, network_access",True,0.9954,1.0,0.0,0.001,0.0035,"
  def _run_model_in_sess(self, model_dir, tags, signature_key, sample_inputs):
    with tensorflow.compat.v1.Session(graph=tensorflow.Graph()) as sess:
      meta_graph = saved_model_loader.load(sess, tags, export_dir=model_dir)
      signature_def = meta_graph.signature_def[signature_key]

      # DumpTensorOp only works in graph mode."
tensorflow.python.ops.collective_ops.all_reduce,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"  @staticmethod
  def all_reduce(t, group_size, group_key, instance_key, *args, **kwargs):
    kwargs.pop('ordering_token', None)
    return _collective_ops.all_reduce(t, group_size, group_key, instance_key,
                                      *args, **kwargs)

  @staticmethod
  def all_gather(t, group_size, group_key, instance_key, *args, **kwargs):"
tensorflow.python.ops.collective_ops.all_gather_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    group_size = array_ops.identity(group_size)
    group_key = array_ops.identity(group_key)
    instance_key = array_ops.identity(instance_key)
    return _collective_ops.all_gather_v2(t, group_size, group_key, instance_key,
                                         *args, **kwargs)

  @staticmethod
  def broadcast_send(t, shape, dtype, group_size, group_key, instance_key,"
tensorflow.python.ops.collective_ops.broadcast_send_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9999,0.0,"    group_size = array_ops.identity(group_size)
    group_key = array_ops.identity(group_key)
    instance_key = array_ops.identity(instance_key)
    return _collective_ops.broadcast_send_v2(t, group_size, group_key,
                                             instance_key, *args, **kwargs)

  @staticmethod
  def broadcast_recv(shape, dtype, group_size, group_key, instance_key, *args,"
tensorflow.python.ops.collective_ops.broadcast_recv_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9995,0.0,"    group_key = array_ops.identity(group_key)
    instance_key = array_ops.identity(instance_key)
    shape = array_ops.identity(shape)
    return _collective_ops.broadcast_recv_v2(shape, dtype, group_size,
                                             group_key, instance_key, *args,
                                             **kwargs)

  @staticmethod
  def all_to_all(t, group_size, group_key, instance_key, *args, **kwargs):"
tensorflow.python.ops.collective_ops.all_to_all_v2,network_access,True,0.0,1.0,0.0,0.0002,0.0,"    group_size = array_ops.identity(group_size)
    group_key = array_ops.identity(group_key)
    instance_key = array_ops.identity(instance_key)
    return _collective_ops.all_to_all_v2(
        t, group_size, group_key, instance_key, *args, **kwargs
    )


device_combination = ("
tensorflow.python.ops.collective_ops.all_to_all_v3,network_access,True,0.0,1.0,0.0,0.0003,0.0001,"            group_size=group_size,
            communication_hint=communication)
        collectives.append(
            _collective_ops.all_to_all_v3(group_handle1, [2.0, 4.0]))
      return collectives

    result = run_all_to_all_2devices()"
tensorflow.python.ops.collective_ops.all_reduce,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"
      with self.assertRaisesRegex(errors.UnavailableError, ""peer down""):
        with ops.device(dev0):
          collective_ops.all_reduce(
              in_tensor,
              group_size,
              group_key,
              instance_key,
              communication_hint=communication)

      # After abortion, subsequent collectives should fail immediately.
      with self.assertRaisesRegex(errors.UnavailableError, ""peer down""):"
tensorflow.python.ops.collective_ops.all_reduce,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9999,0.0,"    # Enable collective ops again in order to reset the collective executor.
    enable_collective_ops_with_barrier(cluster_resolver)
    with ops.device(dev0):
      collective_ops.all_reduce(
          in_tensor,
          group_size,
          group_key,
          instance_key,
          communication_hint=communication)

  def testAbortGroupParamsResolution(self, device, communication):
    if communication == ""NCCL"":"
tensorflow.python.ops.collective_ops.broadcast_send,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9989,0.0,"    instance_key = 100
    with ops.device(dev0):
      if cluster_resolver.task_id == 0:
        collective_ops.broadcast_send(in_tensor, (1,), dtypes.float32,
                                      group_size, group_key, instance_key)
      else:
        collective_ops.broadcast_recv((1,), dtypes.float32, group_size,
                                      group_key, instance_key)"
tensorflow.python.ops.collective_ops.broadcast_recv,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9994,0.0,"        collective_ops.broadcast_send(in_tensor, (1,), dtypes.float32,
                                      group_size, group_key, instance_key)
      else:
        collective_ops.broadcast_recv((1,), dtypes.float32, group_size,
                                      group_key, instance_key)


if __name__ == ""__main__"":"
tensorflow.python.ops.gen_list_ops.tensor_list_scatter_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9999,0.0,"    with self.assertRaisesRegex(
        (errors.InvalidArgumentError, ValueError),
        ""must be at most rank 1""):
      l = gen_list_ops.tensor_list_scatter_v2(
          # Wrong element_shape. Should be at most rank 1.
          c0, [1, 3], element_shape=[[1]], num_elements=2)
      self.evaluate(l)

  def testScatterFailsWhenIndexLargerThanNumElements(self):"
tensorflow.python.ops.gen_list_ops.TensorListScatterV2,"network_access, pure_calculation",True,0.0001,1.0,0.0,0.9997,0.0001,"                                r""Shape must be rank 0 but is rank \d+|""
                                r""\w+ must be a scalar""):
      self.evaluate(
          gen_list_ops.TensorListScatterV2(
              tensor=c, indices=c, element_shape=c, num_elements=num_elements))

  def testScatterIntoExistingList(self):
    l = list_ops.tensor_list_reserve("
tensorflow.python.ops.list_ops.tensor_list_scatter,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9999,0.0,"    l = list_ops.tensor_list_reserve(
        element_dtype=dtypes.float32, element_shape=[], num_elements=3)
    l = list_ops.tensor_list_scatter(tensor=[1.], indices=[0], element_shape=[])
    l = list_ops.tensor_list_scatter(
        tensor=[2., 3.], indices=[1, 2], element_shape=[], input_handle=l)
    self.assertAllEqual(
        list_ops.tensor_list_stack(l, element_dtype=dtypes.float32),
        [1., 2., 3.])"
tensorflow.python.ops.state_ops.scatter_add,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    indices = array_ops.placeholder(dtypes.int32, shape=[32])
    values = array_ops.placeholder(dtypes.float32, shape=[33, 64, 64])
    with self.assertRaises(ValueError):
      state_ops.scatter_add(var, indices, values)

    # Var and values mismatch.
    values = array_ops.placeholder(dtypes.float32, shape=[32, 64, 63])"
tensorflow.python.ops.state_ops.scatter_add,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    # Var and values mismatch.
    values = array_ops.placeholder(dtypes.float32, shape=[32, 64, 63])
    with self.assertRaises(ValueError):
      state_ops.scatter_add(var, indices, values)


def _PName(param_id):"
tensorflow.python.ops.nn_ops.bias_add,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"          upstream_gradients = self._randomDataOp(output_shape, data_type)
          with backprop.GradientTape(persistent=True) as tape:
            tape.watch(bias_val)
            bias_add_output = nn_ops.bias_add(
                input_val, bias_val, data_format=data_format)
            gradient_injector_output = bias_add_output * upstream_gradients
          return tape.gradient(gradient_injector_output, bias_val)
"
tensorflow.python.ops.nn_ops.bias_add,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"      else:  # graph mode
        upstream_gradients = array_ops.placeholder(
            data_type, shape=output_shape, name='upstream_gradients')
        bias_add_output = nn_ops.bias_add(
            input_val, bias_val, data_format=data_format)
        gradient_injector_output = bias_add_output * upstream_gradients
        # The gradient function behaves as if grad_ys is multiplied by the op
        # gradient result, not passing the upstram gradients through the op's"
tensorflow.python.ops.functional_ops.remote_call,network_access,True,0.0,1.0,0.0001,0.0001,0.0002,"      b = variables.Variable(3, dtype=dtypes.int32)

    with ops.device(""/job:worker/replica:0/task:0/cpu:0""):
      remote_op = functional_ops.remote_call(
          args=[a, b],
          Tout=[dtypes.int32],
          f=_remote_fn,
          target=""/job:worker/replica:0/task:0/cpu:1"")

    with session.Session(worker[0].target) as sess:
      self.evaluate(variables.global_variables_initializer())"
tensorflow.python.ops.functional_ops.remote_call,network_access,True,0.0,1.0,0.0,0.0001,0.0001,"      b = variables.Variable(3, dtype=dtypes.int32)

    with ops.device(""/job:localhost/replica:0/task:0/cpu:0""):
      remote_op = functional_ops.remote_call(
          args=[a, b],
          Tout=[dtypes.int32],
          f=_remote_fn,
          target=""/job:localhost/replica:0/task:0/cpu:1"")

    with self.test_session(config=worker_config) as sess:
      self.evaluate(variables.global_variables_initializer())"
tensorflow.python.ops.functional_ops.remote_call,network_access,True,0.0,1.0,0.0,0.0001,0.0001,"      b = variables.Variable(3, dtype=dtypes.float32)

    with ops.device(""/job:localhost/replica:0/task:0/cpu:0""):
      remote_op = functional_ops.remote_call(
          args=[a, b],
          Tout=[dtypes.float32],
          f=_remote_fn,
          target=""/job:localhost/replica:0/task:0/device:GPU:0"")[0] + 3.0

    with self.cached_session() as sess:
      self.evaluate(variables.global_variables_initializer())"
tensorflow.python.ops.functional_ops.remote_call,network_access,True,0.0,1.0,0.0,0.0001,0.0001,"      b = variables.Variable(3, dtype=dtypes.float32)

    with ops.device(""/job:localhost/replica:0/task:0/device:GPU:0""):
      remote_op = functional_ops.remote_call(
          args=[a, b],
          Tout=[dtypes.float32],
          f=_remote_fn,
          target=""/job:localhost/replica:0/task:0/cpu:0"")[0] + 3.0

    with self.cached_session() as sess:
      self.evaluate(variables.global_variables_initializer())"
tensorflow.python.ops.functional_ops.remote_call,network_access,True,0.0,1.0,0.0001,0.0002,0.0002,"      b = variables.Variable(3, dtype=dtypes.float32)

    with ops.device(""/job:worker/replica:0/task:0/cpu:0""):
      remote_op = functional_ops.remote_call(
          args=[a, b],
          Tout=[dtypes.float32],
          f=_remote_fn,
          target=""/job:worker/replica:0/task:1/cpu:0"")[0] + 3.0

    with session.Session(workers[0].target) as sess:
      self.evaluate(variables.global_variables_initializer())"
tensorflow.python.ops.collective_ops.all_reduce_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    def _remote_fn(v):
      # We run two collectives here to make sure we cancel in the middle of the
      # RemoteCall. The second one should never finish.
      anchor = collective_ops.all_reduce_v2(
          v, group_size=2, group_key=1, instance_key=1)
      with ops.control_dependencies([anchor]):
        return collective_ops.all_reduce_v2(
            v, group_size=2, group_key=1, instance_key=2)"
tensorflow.python.ops.collective_ops.all_reduce_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"      anchor = collective_ops.all_reduce_v2(
          v, group_size=2, group_key=1, instance_key=1)
      with ops.control_dependencies([anchor]):
        return collective_ops.all_reduce_v2(
            v, group_size=2, group_key=1, instance_key=2)

    @eager_def_function.function
    def run():"
tensorflow.python.ops.collective_ops.all_reduce_v2,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    @function.Defun(dtypes.float32)
    def collective_fn(t):
      # Run a dummy collective of group size 1 to test the setup.
      return collective_ops.all_reduce_v2(
          t, group_size=1, group_key=1, instance_key=1)

    @eager_def_function.function
    def run():"
tensorflow.python.ops.random_ops.random_gamma,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"

def random_gamma_with_alpha_beta(shape):  # pylint: disable=invalid-name
  return random_ops.random_gamma(
      shape, alpha=[[1.], [3.], [5.], [6.]], beta=[[3., 4.]])


def random_poisson_v2(shape):  # pylint: disable=invalid-name"
tensorflow.python.ops.state_ops.scatter_add,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    updates = constant_op.constant([0, 2, -1, 3], dtype=dtypes.int32)

    for ref in (variable, resource_variable):
      add_result = state_ops.scatter_add(ref, indices, updates)
      self.evaluate(ref.initializer)

      expected_result = constant_op.constant([1, 0, 1, 3, 1, 1, 1, 4])"
tensorflow.python.ops.state_ops.scatter_sub,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"    updates = constant_op.constant([0, 2, -1, 2], dtype=dtypes.int32)

    for ref in (variable, resource_variable):
      sub_result = state_ops.scatter_sub(ref, indices, updates)
      self.evaluate(ref.initializer)

      expected_result = constant_op.constant([1, 2, 1, -1, 1, 1, 1, -1])"
tensorflow.python.ops.array_ops.scatter_nd,"network_access, pure_calculation",True,0.0,1.0,0.0,1.0,0.0,"
  def scatter_nd(self, indices, updates, shape, input_=None):
    del input_  # input_ is not used in scatter_nd
    return array_ops.scatter_nd(indices, updates, shape)

  @test_util.run_in_graph_and_eager_modes
  def testBool(self):"
tensorflow.python.ops.array_ops.tensor_scatter_sub,"network_access, pure_calculation",True,0.0,1.0,0.0,0.9999,0.0,"      t = array_ops.ones([8], dtype=dtype)
      assigned = array_ops.tensor_scatter_update(t, indices, updates)
      added = array_ops.tensor_scatter_add(t, indices, updates)
      subbed = array_ops.tensor_scatter_sub(t, indices, updates)

      self.assertAllEqual(assigned,
                          constant_op.constant([1, 11, 1, 10, 9, 1, 1, 12]))"
tensorflow.python.ops.weights_broadcast_ops.assert_broadcastable,"network_access, pure_calculation",True,0.0,1.0,0.0002,1.0,0.0001,"    ops.reset_default_graph()

  def _test_valid(self, weights, values):
    static_op = weights_broadcast_ops.assert_broadcastable(
        weights=weights, values=values)
    weights_placeholder = array_ops.placeholder(dtypes_lib.float32)
    values_placeholder = array_ops.placeholder(dtypes_lib.float32)
    dynamic_op = weights_broadcast_ops.assert_broadcastable("
tensorflow.python.ops.weights_broadcast_ops.assert_broadcastable,"network_access, pure_calculation",True,0.0,1.0,0.0001,1.0,0.0001,"        weights=weights, values=values)
    weights_placeholder = array_ops.placeholder(dtypes_lib.float32)
    values_placeholder = array_ops.placeholder(dtypes_lib.float32)
    dynamic_op = weights_broadcast_ops.assert_broadcastable(
        weights=weights_placeholder, values=values_placeholder)
    with self.cached_session():
      static_op.run()
      dynamic_op.run(feed_dict={"
