api_path,predicted_labels,is_flagged,p_file_access,p_network_access,p_process_mgmt,p_pure_calculation,p_code_execution,text
tensorflow.python.lib.io.file_io.FileIO,file_access,True,1.0,0.0,0.0,0.0006,0.0,"                            ""digraph  {a -> b}"", ""digraph  {a -> b}"", """",
                            ""/path/to/flatbuffer"")

    with _file_io.FileIO(export_path, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()"
tensorflow.python.lib.io.file_io.FileIO,file_access,True,1.0,0.0,0.0,0.0003,0.0,"                            ""digraph  {a -> b}"", ""digraph  {a -> b}"", """",
                            ""/path/to/flatbuffer"")

    with _file_io.FileIO(export_path, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()
      exported = f_export.read()
      self.assertEqual(exported, expected)"
tensorflow.python.platform.resource_loader.get_path_to_datafile,file_access,True,1.0,0.0,0.0,0.0005,0.0,"                            ""/path/to/flatbuffer"")

    with _file_io.FileIO(export_path, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()
      exported = f_export.read()"
tensorflow.lite.toco.logging.gen_html.gen_conversion_log_html,file_access,True,1.0,0.0,0.0,0.2629,0.0001,"    shutil.copy(dot_after, export_path)

    # Generate HTML content based on files in the test folder.
    gen_html.gen_conversion_log_html(export_path, True, ""/path/to/flatbuffer"")

    result_html = os.path.join(export_path, ""toco_conversion_summary.html"")
"
tensorflow.python.lib.io.file_io.FileIO,file_access,True,1.0,0.0,0.0,0.0023,0.0,"
    result_html = os.path.join(export_path, ""toco_conversion_summary.html"")

    with _file_io.FileIO(result_html, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()"
tensorflow.python.lib.io.file_io.FileIO,file_access,True,1.0,0.0,0.0,0.0004,0.0,"
    result_html = os.path.join(export_path, ""toco_conversion_summary.html"")

    with _file_io.FileIO(result_html, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()
      exported = f_export.read()
      self.assertEqual(exported, expected)"
tensorflow.python.platform.resource_loader.get_path_to_datafile,file_access,True,1.0,0.0,0.0,0.0004,0.0,"    result_html = os.path.join(export_path, ""toco_conversion_summary.html"")

    with _file_io.FileIO(result_html, ""r"") as f_export, _file_io.FileIO(
        resource_loader.get_path_to_datafile(""testdata/generated.html""),
        ""r"") as f_expect:
      expected = f_expect.read()
      exported = f_export.read()"
tensorflow.lite.python.lite.TargetSpec,file_access,True,1.0,0.0001,0.0002,0.0247,0.0051,"  converter = lite.TFLiteConverter.from_concrete_functions(
      [func.get_concrete_function()]
  )
  converter.target_spec = lite.TargetSpec()
  tflite_model = converter.convert()
  model_path = '/tmp/intermediate_tensor_output.tflite'
  with open(model_path, 'wb') as f:"
tensorflow.python.saved_model.saved_model.simple_save,file_access,True,1.0,0.0,0.0,0.0013,0.0,"      out_tensor = in_tensor + in_tensor
      inputs = {""x"": in_tensor}
      outputs = {""y"": out_tensor}
      saved_model.simple_save(sess, saved_model_dir, inputs, outputs)
    return saved_model_dir

  def _createSavedModelTwoInputArrays(self, shape):"
tensorflow.python.saved_model.saved_model.simple_save,file_access,True,1.0,0.0,0.0,0.0011,0.0,"      out_tensor = in_tensor_1 + in_tensor_2
      inputs = {""x"": in_tensor_1, ""y"": in_tensor_2}
      outputs = {""z"": out_tensor}
      saved_model.simple_save(sess, saved_model_dir, inputs, outputs)
    return saved_model_dir

  def _getArrayNames(self, tensors):"
tensorflow.python.training.training_util.write_graph,file_access,True,1.0,0.0,0.0,0.0003,0.0,"
    # Write graph to file.
    graph_def_file = os.path.join(self.get_temp_dir(), 'model.pb')
    write_graph(sess.graph_def, '', graph_def_file, False)
    sess.close()

    # Convert model and ensure model is not None."
