api_path,predicted_labels,is_flagged,p_file_access,p_network_access,p_process_mgmt,p_pure_calculation,p_code_execution,text
tensorflow.python.distribute.cluster_resolver.tpu_cluster_resolver.TPUClusterResolver,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,1.0,0.0,"

def get_tpu_cluster_resolver():
  resolver = tpu_cluster_resolver.TPUClusterResolver(
      tpu=FLAGS.tpu,
      zone=FLAGS.zone,
      project=FLAGS.project,
  )
  return resolver

"
tensorflow.python.distribute.tpu_strategy.TPUStrategyV2,"process_mgmt, pure_calculation",True,0.0,0.0003,1.0,1.0,0.0,"  resolver = get_tpu_cluster_resolver()
  remote.connect_to_cluster(resolver)
  tpu_cluster_resolver.initialize_tpu_system(resolver)
  return tpu_lib.TPUStrategyV2(resolver)


# This test doesn't use XLATestCase like the other tests in this directory."
tensorflow.python.framework.ops.enable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"

if __name__ == ""__main__"":
  ops.enable_eager_execution()
  test.main()"
tensorflow.python.platform.test.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"
if __name__ == ""__main__"":
  ops.enable_eager_execution()
  test.main()"
tensorflow.python.framework.ops.disable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9938,0.0,"                                os.environ.get(""TF_XLA_FLAGS"", """"))
  # This test is using Tensorflow sessions which are not compatible with eager
  # mode.
  ops.disable_eager_execution()
  test.main()"
tensorflow.python.platform.test.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9988,0.0,"  # This test is using Tensorflow sessions which are not compatible with eager
  # mode.
  ops.disable_eager_execution()
  test.main()"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,0.9995,0.0001,"@test_util.with_control_flow_v2
class TensorArrayTest(xla_test.XLATestCase):

  @test_util.disable_control_flow_v2(""Tries to evaluate flow"")
  def testTensorArrayWriteRead(self):
    with self.session() as session, self.test_scope():
"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9998,0.0,"                   [8.0, 9.0], [124.0, 125.0]]),
          self.evaluate(xla.compile(fn)[0]))

  @test_util.disable_control_flow_v2(""b/122315751 (concat)"")
  def testTensorArrayWriteConcat(self):
    for dtype in self.numeric_tf_types:
      self._testTensorArrayWriteConcat(dtype)"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9999,0.0,"      self.assertAllEqual(convert([[2.0, 121.0]]), d1)
      self.assertAllEqual(convert([[3.0, 127.0]]), d2)

  @test_util.disable_control_flow_v2(""b/122315872 (split)"")
  def testTensorArraySplitRead(self):
    for dtype in self.numeric_tf_types:
      self._testTensorArraySplitRead(dtype)"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,0.9997,0.0,"    for dtype in self.numeric_tf_types:
      self._testTensorArraySplitRead(dtype)

  @test_util.disable_control_flow_v2(""TensorArray.grad is not supported in v2"")
  def testTensorGradArrayWriteRead(self):
    with self.session() as session, self.test_scope():
"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,0.9997,0.0,"      self.assertAllEqual([[2.0]], g_d1)
      self.assertAllEqual([[-2.0]], g_d2)

  @test_util.disable_control_flow_v2(""TensorArray.grad is not supported in v2"")
  def testTensorGradArrayDynamicWriteRead(self):
    with self.session() as session, self.test_scope():
"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9997,0.0,"      self.assertAllEqual(3, vs)
      self.assertAllEqual(3, g_vs)

  @test_util.disable_control_flow_v2(""TensorArray.grad is not supported in v2"")
  def testTensorGradAccessTwiceReceiveSameObject(self):
    with self.session() as session, self.test_scope():
      ta_out = {}"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,0.9999,0.0,"      #
      # self.assertAllEqual(ta_out[0], ta_out[1])

  @test_util.disable_control_flow_v2(""b/124334470"")
  def testTensorArrayWriteWrongIndexOrDataTypeFails(self):
    with self.session(), self.test_scope():
"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9998,0.0,"          r"")""):
        xla.compile(fn)[0].eval()

  @test_util.disable_control_flow_v2(""b/124334096 verify dtype"")
  def testTensorArrayReadWrongIndexOrDataTypeFails(self):
    # Find two different floating point types, create an array of
    # the first type, but try to read the other type."
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9999,0.0,"      self.assertAllEqual(convert([1.0, 5.0]), read_vals[0])
      self.assertAllEqual(convert([10.0, 20.0]), read_vals[1])

  @test_util.disable_control_flow_v2(""b/122315734 (scatter)"")
  def testTensorArrayScatterRead(self):
    for dtype in self.numeric_tf_types:
      self._testTensorArrayScatterRead(dtype)"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9999,0.0,"      self._testTensorArrayScatterRead(dtype)
    self._testTensorArrayScatterRead(dtypes.bool)

  @test_util.disable_control_flow_v2(""b/122315734 (scatter)"")
  def testTensorArrayScatterReadAndGradients(self):
    with self.session() as session, self.test_scope():
      id0 = array_ops.placeholder(dtypes.int32)"
tensorflow.python.framework.test_util.disable_control_flow_v2,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,0.9998,0.0,"      self.assertAllEqual([10.0, -10.0], read_vals[1])
      self.assertAllEqual([[2.0, 3.0], [4.0, 5.0]], grad_vals[0])

  @test_util.disable_control_flow_v2(""b/122315378 (gather)"")
  def testTensorArrayWriteGatherAndGradients(self):
    with self.session() as session, self.test_scope():
"
tensorflow.python.framework.ops.enable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"

if __name__ == '__main__':
  ops.enable_eager_execution()
  test.main()"
tensorflow.python.platform.test.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"
if __name__ == '__main__':
  ops.enable_eager_execution()
  test.main()"
tensorflow.python.platform.test.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9987,0.0001,"  # This test is using Tensorflow sessions which are not compatible with eager
  # mode.
  ops.disable_eager_execution()
  test.main(argv=[sys.argv[0]] + unparsed)"
tensorflow.python.framework.ops.disable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9837,0.0,"if __name__ == '__main__':
  # This test is using Tensorflow sessions which are not compatible with eager
  # mode.
  ops.disable_eager_execution()
  googletest.main()"
tensorflow.python.platform.googletest.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9964,0.0001,"  # This test is using Tensorflow sessions which are not compatible with eager
  # mode.
  ops.disable_eager_execution()
  googletest.main()"
tensorflow.python.framework.ops.enable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"

if __name__ == '__main__':
  ops.enable_eager_execution()
  googletest.main()"
tensorflow.python.platform.googletest.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"
if __name__ == '__main__':
  ops.enable_eager_execution()
  googletest.main()"
tensorflow.python.framework.ops.enable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"

if __name__ == ""__main__"":
  ops.enable_eager_execution()
  config.set_soft_device_placement(False)
  test.main()"
tensorflow.python.framework.config.set_soft_device_placement,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"
if __name__ == ""__main__"":
  ops.enable_eager_execution()
  config.set_soft_device_placement(False)
  test.main()"
tensorflow.python.platform.test.main,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,1.0,0.0,"if __name__ == ""__main__"":
  ops.enable_eager_execution()
  config.set_soft_device_placement(False)
  test.main()"
tensorflow.python.framework.ops.disable_eager_execution,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9996,0.0002,"  if len(argv) > 1:
    raise app.UsageError('Too many command-line arguments.')

  ops.disable_eager_execution()
  shutil.rmtree(FLAGS.saved_model_path)

  # Create the graph"
tensorflow.function,process_mgmt,True,0.0,0.0001,1.0,0.3619,0.0003,"  def test_async_sleep_error(self):
    # It is import that ComputeAsync() calls its done() callback if it returns
    # early due to an error.
    func = tf.function(lambda: sleep_op.AsyncSleep(-1.0))
    with self.assertRaisesRegex(errors_impl.InvalidArgumentError,
                                'Input `delay` must be non-negative.'):
      self.evaluate(func())"
tensorflow.examples.custom_ops_doc.sleep.sleep_op.AsyncSleep,process_mgmt,True,0.0,0.0001,1.0,0.3619,0.0003,"  def test_async_sleep_error(self):
    # It is import that ComputeAsync() calls its done() callback if it returns
    # early due to an error.
    func = tf.function(lambda: sleep_op.AsyncSleep(-1.0))
    with self.assertRaisesRegex(errors_impl.InvalidArgumentError,
                                'Input `delay` must be non-negative.'):
      self.evaluate(func())"
tensorflow.python.eager.def_function.function,"process_mgmt, code_execution",True,0.0,0.0062,1.0,0.0001,0.9512,"              ordering_token=tokens[device],
              communication_hint=communication)

    def_function.function(collective_fn)()

    # Launch a collective that hangs, and abort the collective executor after
    # the launch."
tensorflow.python.data.experimental.ops.testing.sleep,process_mgmt,True,0.0,0.0,1.0,0.0022,0.0003,"    # Make the dataset sleep a while so that the collective is being executed
    # when the EOF happens.
    dataset = dataset_ops.Dataset.from_tensors([1.]).apply(
        dataset_testing.sleep(sleep_microseconds=200))

    tokens = {}
    for device in [dev0]:"
tensorflow.python.data.experimental.ops.testing.sleep,process_mgmt,True,0.0,0.0,1.0,0.0019,0.001,"    # Make the dataset sleep a while so that the collective is being executed
    # when the EOF happens.
    dataset = dataset_ops.Dataset.from_tensors([1.]).apply(
        dataset_testing.sleep(sleep_microseconds=200))

    @def_function.function
    def f():"
tensorflow.python.eager.cancellation.CancellationManager,process_mgmt,True,0.0,0.0362,1.0,0.0009,0.001,"    group_key = 100
    instance_key = 100
    in_tensor = constant_op.constant([1.])
    t1_cancellation_manager = cancellation.CancellationManager()
    t2_cancellation_manager = cancellation.CancellationManager()

    @def_function.function"
tensorflow.python.eager.cancellation.CancellationManager,process_mgmt,True,0.0,0.0032,1.0,0.0003,0.001,"    instance_key = 100
    in_tensor = constant_op.constant([1.])
    t1_cancellation_manager = cancellation.CancellationManager()
    t2_cancellation_manager = cancellation.CancellationManager()

    @def_function.function
    def _collective_fn(x):"
tensorflow.python.distribute.multi_process_runner.get_barrier,process_mgmt,True,0.0,0.0005,1.0,0.0044,0.0007,"

def enable_collective_ops_with_barrier(cluster_resolver):
  multi_process_runner.get_barrier().wait()
  enable_collective_ops(cluster_resolver)
  multi_process_runner.get_barrier().wait()
"
tensorflow.python.distribute.cluster_resolver.TFConfigClusterResolver,"process_mgmt, pure_calculation",True,0.0,0.0001,1.0,1.0,0.0,"  def testCheckHealth(self):

    def worker_fn():
      enable_collective_ops(cluster_resolver_lib.TFConfigClusterResolver())
      # There may be some delays before the server startup. Check health should
      # eventually be OK.
      while True:"
tensorflow.python.distribute.multi_process_runner.get_barrier,process_mgmt,True,0.0,0.0001,1.0,0.0008,0.0001,"        except (errors.UnavailableError, errors.DeadlineExceededError):
          continue
        break
      multi_process_runner.get_barrier().wait()

    cluster_spec = multi_worker_test_base.create_cluster_spec(num_workers=2)
    mpr = multi_process_runner.MultiProcessRunner(worker_fn, cluster_spec)"
tensorflow.python.distribute.cluster_resolver.TFConfigClusterResolver,"process_mgmt, pure_calculation",True,0.0,0.0002,1.0,1.0,0.0,"  def testCheckHealthPeerRestart(self):

    def worker_fn():
      cluster_resolver = cluster_resolver_lib.TFConfigClusterResolver()
      enable_collective_ops(cluster_resolver)

      collective_ops.all_reduce("
tensorflow.python.distribute.multi_worker_test_base.create_cluster_spec,process_mgmt,True,0.0,0.0001,1.0,0.0014,0.0001,"          except errors.FailedPreconditionError:
            break

    cluster_spec = multi_worker_test_base.create_cluster_spec(
        has_chief=True, num_workers=1)
    mpr = multi_process_runner.MultiProcessRunner(
        worker_fn, cluster_spec, auto_restart=True)
    mpr.start()"
tensorflow.python.distribute.multi_worker_test_base.create_cluster_spec,process_mgmt,True,0.0,0.0002,1.0,0.0006,0.0001,"

two_worker_pool_runner = multi_process_runner.MultiProcessPoolRunner(
    multi_worker_test_base.create_cluster_spec(num_workers=2),
    initializer=lambda: enable_collective_ops(cluster_resolver_lib.
                                              TFConfigClusterResolver()))
"
tensorflow.python.distribute.cluster_resolver.TFConfigClusterResolver,"process_mgmt, pure_calculation",True,0.0,0.0002,1.0,0.6056,0.0001,"
two_worker_pool_runner = multi_process_runner.MultiProcessPoolRunner(
    multi_worker_test_base.create_cluster_spec(num_workers=2),
    initializer=lambda: enable_collective_ops(cluster_resolver_lib.
                                              TFConfigClusterResolver()))


@combinations.generate("
tensorflow.python.distribute.cluster_resolver.TFConfigClusterResolver,"process_mgmt, pure_calculation",True,0.0,0.0,1.0,0.9971,0.0,"    if communication == ""NCCL"":
      self.skipTest(""b/171358086: cannot test multi worker NCCL"")
    dev0 = ""/device:%s:0"" % device
    cluster_resolver = cluster_resolver_lib.TFConfigClusterResolver()
    enable_collective_ops_with_barrier(cluster_resolver)
    group_size = 2
    group_key = 100"
tensorflow.python.distribute.multi_process_runner.test_main,"process_mgmt, pure_calculation",True,0.0,0.0004,1.0,0.9968,0.0008,"

if __name__ == ""__main__"":
  multi_process_runner.test_main()"
