api_path,predicted_labels,is_flagged,p_file_access,p_network_access,p_process_mgmt,p_pure_calculation,p_code_execution,text
tensorflow.python.platform.tf_logging.info,,False,0.0016,0.0,0.0001,0.0023,0.0019,"  asset_filename_map = {}

  if assets_to_add is None:
    tf_logging.info(""No assets to save."")
    return asset_filename_map

  # Iterate over the supplied assets, build the `AssetFile` proto and add them"
tensorflow.python.platform.tf_logging.info,,False,0.0025,0.0001,0.0,0.0021,0.0017,"    distribute_lib.distribution_strategy_input_api_counter.get_cell(
        self._platform_device.name,
        'PreemptionCheckpointHandler Saving Checkpoint').increase_by(1)
    logging.info('PreemptionCheckpointHandler: Starting saving a checkpoint.')

    if self._platform_device != failure_handling_util.PlatformDevice.INTERNAL_TPU:
      self._checkpointed_runs.assign(self.total_run_calls)"
tensorflow.python.checkpoint.checkpoint_options.CheckpointOptions,,False,0.003,0.0028,0.0,0.0014,0.0014,"    def my_callback_2(save_path):
      return save_path + ""some string""

    options_original = checkpoint_options.CheckpointOptions(
        experimental_io_device=""CPU:0"",
        enable_async=True,
        experimental_write_callbacks=[my_callback]
    )

    options_copy = copy.copy(options_original)
"
tensorflow.python.platform.tf_logging.info,,False,0.0012,0.0,0.0,0.0015,0.003,"    unpacked_all_tpu_ids = device.unpack(all_core_ids)

  all_core_ids = list(unpacked_all_tpu_ids[0].numpy())
  logging.info(""All TPU core IDs: %s"", all_core_ids)

  # Set the default core ID mappings in the runtime for legacy code and tests.
  #"
tensorflow.python.platform.tf_logging.info,,False,0.0034,0.0,0.0,0.0007,0.0012,"    total_size = 1
    for s in input_sizes:
      total_size *= s
    tf_logging.info(""Running %s test. %r %r %d %r %r %r %s"", data_format, v2,
                    input_sizes, total_size, pool_func, ksize, strides,
                    data_type)
    # Initializes the input tensor with array containing incrementing
    # numbers from 1, wrapping round to -127 after 127 to support int8.
    y = -1 if use_negative_input else 1"
tensorflow.python.platform.tf_logging.info,,False,0.0029,0.0,0.0,0.0006,0.0034,"      self._poll_termination_signal_thread.join()

      self._poll_termination_signal_thread = None
      logging.info(""Shut down watcher for one's own termination signal"")

  def _stop_cluster_wise_termination_watcher_thread(self):
    """"""Stop the thread that is _watch_step_to_save_key."""""""
tensorflow.python.platform.tf_logging.info,,False,0.0034,0.0,0.0,0.0034,0.0006,"    ring_dims = 1 - len(mesh_shape)
  elif ring_dims < -len(mesh_shape) or ring_dims > len(mesh_shape):
    raise ValueError(""Invalid ring_dims value: %d"" % ring_dims)
  logging.info(""Actual ring_dims: %s"", ring_dims)

  # By default, vary axes in the core -> x -> y -> z order.
  if ring_axes is None:"
tensorflow.python.platform.tf_logging.info,,False,0.0036,0.0003,0.0002,0.0014,0.002,"      if maintenance_event.is_set() and not training_finished.is_set():
        self.assertTrue(caught_exit)

        logging.info('restarting workers')
        training_restarted.set()
        self.worker_fn(checkpoint_dir, cluster_spec, input_arg, strategy_option,
                       maintenance_event, training_finished, True,"
tensorflow.python.checkpoint.checkpoint_options.CheckpointOptions,,False,0.0037,0.0024,0.0,0.0015,0.0015,"        experimental_is_anonymous=is_anonymous)

    save_checkpoint = checkpoint_utils.Checkpoint(table=save_table)
    ckpt_options = checkpoint_options.CheckpointOptions(
        experimental_enable_async_checkpoint=True)

    self.assertAllEqual(0, self.evaluate(save_table.size()))
    self.evaluate(save_table.insert(keys, values))"
tensorflow.python.platform.tf_logging.info,,False,0.0038,0.0,0.0003,0.0031,0.0005,"      random_seed = random.randint(0, 1 << 31)
    else:
      debug_mode = True
    logging.info('Virtual gpu functional test for random graph...')
    logging.info('operation placement: %s', str(op_placement))
    logging.info('random seed: %d', random_seed)
"
